Expected total responses,1049
Success count,1049
Error count,0
Unverified response count,0
See download status column for download errors
Response ID,Timestamp,Download Status,ជម្រើសរាជធានី ឬខេត្ត,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកណ្តាល,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកែប,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកោះកុង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តក្រចេះ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ចាម,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ឆ្នាំង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ធំ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ស្ពឺ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពត,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តតាកែវ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តត្បូងឃ្មុំ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តបន្ទាយមានជ័យ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តប៉ៃលិន,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តបាត់ដំបង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តពោធិ៍សាត់,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តព្រៃវែង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តព្រះវិហារ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តព្រះសីហនុ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល រាជធានីភ្នំពេញ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តមណ្ឌលគិរី,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តរតនគិរី,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តសៀមរាប,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តស្ទឹងត្រែង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តស្វាយរៀង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តឧត្ដរមានជ័យ,រយៈទទឹង និងរយៈបណ្តោយ​ (Latitude and longitude),តំណភ្ជាប់ផែនទី (Map Link),រូបភាពមូលដ្ខានសុខាភិបាល,ជម្រើសពីបញ្ជីឈ្មោះមូលដ្ខានសុខាភិបាល ឬបញ្ជូលថ្មី,ប្រភេទសេវា,ឈ្មោះមូលដ្ឋានសុខាភិបាលជាអក្សរខ្មែរ,ឈ្មោះមូលដ្ឋានសុខាភិបាលជាអក្សរឡាតាំង,លេខលិខិតអនុញ្ញាត,កាលបរិច្ឆេទអនុញ្ញាត,កាលបរិច្ឆេទផុតសុពលភាពនៃលិខិតអនុញ្ញាត,ចំនួនបុគ្គលិក&ពេទ្យ
67e25f11b841cb0012ebaf2c,25 Mar 2025 02:45:21 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល អឃីត សែនសុខ (Achieves Sen Sok - 2042),,,,,,,"11.583388553902763, 104.87868988105082",https://maps.app.goo.gl/CKCAv9jH2UGZchHL6,jpg.jpg,,,,,,,,
67e262331115b50012b2d021,25 Mar 2025 02:58:43 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល គួយ ណារ៉េត (Kuoy Naret - 1133),,,,,,,,,,,,,,,,,,,,,"Near xfp5+wc5, street 223, krong Kampong Cham",Kuoy naret clinic,IMG20250325145624.jpg,,,,,,,,
67e2644eb841cb0012ebcd26,25 Mar 2025 03:07:42 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល គួយ ណារ៉េត (Kuoy Naret - 1133),,,,,,,,,,,,,,,,,,,,,"Near xfp5+wc5, street 223, krong Kampong Cham",https://maps.app.goo.gl/7cTZ4uxzCBNYmnaw6?g_st=com.google.maps.preview.copy,IMG20250325145624.jpg,,,,,,,,
67e265591115b50012b2de76,25 Mar 2025 03:12:09 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល សហមេត្រី (Sahamitrei - 1251),,,,,,,0250386,https://maps.app.goo.gl/eCcqnk38vMMrR4Kc6,photo_2025-03-25_15-11-01.jpg,,,,,,,,
67e265fa1115b50012b2df44,25 Mar 2025 03:14:50 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល សហមេត្រី (Sahamitrei - 1251),,,,,,,"11.518203061414859, 104.77479494809582",https://maps.app.goo.gl/D8v75qKK17pNFiaj9,photo_2025-03-25_15-11-01.jpg,,,,,,,,
67e267431115b50012b2e510,25 Mar 2025 03:20:20 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពេទ្យឯកជន កម្ពុជា (Cambodia - 1619),,,,,,,"11.564457, 104.923336",https://maps.app.goo.gl/kEmfSMBgsdq4uY3k8,HOC-Building-Update_01.jpg,,,,,,,,
67e267661115b50012b2e58b,25 Mar 2025 03:20:54 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល អង្គរជ័យជីហែ (Angkor Chey JH - 2056),,,,,,,,,,,,,,,,,,,,,"11.886555600939577, 105.43056211407932",https://maps.app.goo.gl/7bYHb8Nr2qRBZeoz8,photo_2023-12-20_14-49-00 (2).jpg,,,,,,,,
67e267c41115b50012b2e8b8,25 Mar 2025 03:22:28 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល សម្ភពសោភាមានជ័យ (Sophea Maternity Mean Chey - 55),,,,,,,"11.54062871625558, 104.89126113643756",https://maps.app.goo.gl/ggzVN6qVG6yhMFRa7,Photo Pet.jpg,,,,,,,,
67e26ded1115b50012b302ca,25 Mar 2025 03:48:45 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល សានីន (Sanin - 38),,,,,,,9x25,https://maps.app.goo.gl/KkbZMkwnyad9sMpa9?g_st=com.google.maps.preview.copy,IMG_0598.jpeg,,,,,,,,
67e26f96b841cb0012ebf8c7,25 Mar 2025 03:55:50 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្ភព សៅសំបូរ (Sao Sambor - 562),,,,,,,,,,,,,,,,,,,,,"11.990738100009688, 105.46134036765636",https://maps.app.goo.gl/nqJcsLzNuCZJXZXW7,photo_2024-09-02_15-41-58.jpg,,,,,,,,
67e270861115b50012b30e14,25 Mar 2025 03:59:50 PM,Success (with Downloaded Attachment),តាកែវ,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល អ៊ែមវែល (Emwell - 1740),,,,,,,,,,,,,,,,"(11.1900917, 104.6906732)",https://maps.app.goo.gl/5aVHwUC9xXMk5L84A?g_st=com.google.maps.preview.copy,IMG_0647.jpeg,,,,,,,,
67e270a51115b50012b30e1e,25 Mar 2025 04:00:21 PM,Success (with Downloaded Attachment),តាកែវ,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ទ្រីយ៉ូសិទ្ធ (Triyo Seth - 977),,,,,,,,,,,,,,,,8.25,https://maps.app.goo.gl/WEFGQaeZdCjUFEGZA?g_st=com.google.maps.preview.copy,camphoto_992951867.jpeg,,,,,,,,
67e270eb56e47f00139e3148,25 Mar 2025 04:01:31 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល វិសាលសុខ (Visal Sok - 1),,,,,,,"11.554281823243489, 104.90510936887908","https://www.google.com/maps/place/POLYCLINIC+VISALSOK/@11.5542356,104.9053959,20.23z/data=!4m6!3m5!1s0x3109511abdcdf51d:0x701cc3c696b0e697!8m2!3d11.5542838!4d104.9051953!16s%2Fg%2F1hd_fq1b4?entry=ttu&g_ep=EgoyMDI1MDMxOS4yIKXMDSoASAFQAw%3D%3D",photo_2025-03-25_15-58-02.jpg,,,,,,,,
67e273a11115b50012b313b5,25 Mar 2025 04:13:05 PM,Success (with Downloaded Attachment),សៀមរាប,,,,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ប្រឹក្សាសុខភាពប្រជាជន (People's Health Consultation - 1124),,,,"13.441491303087583, 103.7276133235798",https://maps.app.goo.gl/rYETmKakz9xBwaDU9,People's Health Clinic.JPG,,,,,,,,
67e275411115b50012b320d3,25 Mar 2025 04:20:01 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល អ៊ិនសែ (In Se - 423),,,,,,,,,,,,,,,,,,,,,"(11.9878325, 105.4645634)",https://maps.app.goo.gl/eL7Us9tfbmbF6scb8?g_st=com.google.maps.preview.copy,IMG_5631.jpeg,,,,,,,,
67e275711115b50012b32137,25 Mar 2025 04:20:49 PM,Success (with Downloaded Attachment),ព្រៃវែង,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល សុខ ភីរម្យ (Sok Pi Romey - 781),,,,,,,,,,12.5717187878466,https://maps.app.goo.gl/MGqF4nrYpS9zBfpE6,IMG_0598.png,,,,,,,,
67e2760456e47f00139e4ced,25 Mar 2025 04:23:16 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល អ៊ិចស្ពឺត (Expert - 960),,,,,,,8m*20m,https://maps.app.goo.gl/Z3nnZeR27ShHPwK3A,IMG_20250325_161856_981.jpg,,,,,,,,
67e276338f85de001202897b,25 Mar 2025 04:24:03 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល មន្ទីរពេទ្យសាកលវិទ្យាល័យអន្តរជាតិសែនសុខ (International University Hospital Sen Sok - 1090),,,,,,,"40,80",https://maps.app.goo.gl/JZW9bAUGkqXSXWs4A?g_st=com.google.maps.preview.copy,image.jpg,,,,,,,,
67e2769e1115b50012b32cd9,25 Mar 2025 04:25:50 PM,Success (with Downloaded Attachment),កំពត,,,,,,,,,មន្ទីរសម្រាកព្យាបាល កំពតខេមរា (Kampot Khemara - 462),,,,,,,,,,,,,,,,,"10.608115464982596, 104.19345062695595",https://maps.app.goo.gl/yExCCz7vbNDJEDEq5,photo_2025-03-25_16-12-55.jpg,,,,,,,,
67e277021115b50012b32cf8,25 Mar 2025 04:27:30 PM,Success (with Downloaded Attachment),កណ្ដាល,មន្ទីរសម្រាកព្យាបាល សុខលាភមេត្រី ៣ (Soklap Metrey 3 - 855),,,,,,,,,,,,,,,,,,,,,,,,,https://maps.app.goo.gl/dRewGt8dBxGwVjK67?g_st=ac,https://maps.app.goo.gl/dRewGt8dBxGwVjK67?g_st=ac,IMG_20250325_162705.jpg,,,,,,,,
67e277bf1115b50012b32e8e,25 Mar 2025 04:30:39 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល អ៊ិចស្ពឺត (Expert - 960),,,,,,,"11.5505585, 104.9048437",https://maps.app.goo.gl/tGZbqGuECTHqu3TA8,IMG_20250325_161856_981.jpg,,,,,,,,
67e278361115b50012b32ec2,25 Mar 2025 04:32:38 PM,Success (with Downloaded Attachment),បន្ទាយមានជ័យ,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ទេវិន្ទរក្សាសុខ II (Devin Raksa Sok II - 405),,,,,,,,,,,,,,"13.657679991280778, 102.55653972746124",https://maps.app.goo.gl/LiQQzQB3MNmc9wSJ9,Clinic.jpg,,,,,,,,
67e278f31115b50012b33385,25 Mar 2025 04:35:47 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល ម៉េន ផល្លា (Men Phalla - 1954),,,,,,,,,,,,,,,,,,,,,"12.112747300946241, 105.21799120083561",https://maps.app.goo.gl/xoUnAU2kU8SaQ5VLA,photo_2025-03-25_16-25-15.jpg,,,,,,,,
67e279ab1115b50012b33578,25 Mar 2025 04:38:51 PM,Success (with Downloaded Attachment),កណ្ដាល,មន្ទីរសម្រាកព្យាបាល បែកចាន (Bek Chan - 1202),,,,,,,,,,,,,,,,,,,,,,,,,"11.5104722,104.7452778",https://maps.app.goo.gl/FNeaWr486n53a5Kx7?g_st=com.google.maps.preview.copy,photo_2025-03-25_16-09-13.jpg,,,,,,,,
67e27ab28f85de001202946b,25 Mar 2025 04:43:14 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល អ៊ិចស្ពឺត (Expert - 960),,,,,,,"11.5505585, 104.9048437",https://maps.app.goo.gl/jLfUWx6c9b46kAdT8?g_st=com.google.maps.preview.copy,IMG_7867.jpeg,,,,,,,,
67e27b8a8f85de0012029958,25 Mar 2025 04:46:50 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាលកុមារ វណ្ណនិត (Vannith Kids - 555),,,,,,,https://maps.app.goo.gl/reUm8MyijxWGjgrSA?g_st=ic,https://maps.app.goo.gl/9NtnkXYHSxGSCMoC7?g_st=ic,F883063B-BE40-4821-A51A-7E1DB1CF51C8.jpeg,,,,,,,,
67e27d678f85de0012029f64,25 Mar 2025 04:54:47 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរពហុព្យាបាល ណារិទ្ធ (Narith - 4),,,,,,,"11.520204,104.922592",https://maps.app.goo.gl/kRZKkeaTeinX9ptV8,photo_2025-03-25_16-53-53.jpg,,,,,,,,
67e27f9e8f85de001202ad11,25 Mar 2025 05:04:14 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល មេឌិក (Medic - 806),,,,,,,"11.529947027375265, 104.8919614709078",https://maps.app.goo.gl/g2YfQ1tEjuBzoGD1A,104176772_146444160311807_5652390158411771111_n.jpg,,,,,,,,
67e280608f85de001202b1fd,25 Mar 2025 05:07:28 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល បញ្ញា (Panha - 432),,,,,,,,,,,,,,,,,,,,,"11.980618173018035, 105.45414918465526",https://maps.app.goo.gl/6aovjQZ5aeKvoApr6,photo_2024-03-28_11-01-21.jpg,,,,,,,,
67e282901115b50012b3657c,25 Mar 2025 05:16:48 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ប្រសិទ្ធភាព (Efficiency - 199),,,,,,,"11.592458593506697, 104.89949219023877",https://maps.app.goo.gl/aJK1XCPSvF4Q86nZ9,photo_2025-03-25_17-16-14.jpg,,,,,,,,
67e282d98f85de001202c086,25 Mar 2025 05:18:01 PM,Success (with Downloaded Attachment),កំពង់ស្ពឺ,,,,,,,,មន្ទីរសម្រាកព្យាបាល ច្បារមន (Chbar Mon - 536),,,,,,,,,,,,,,,,,,"11.46232075695928, 104.51908681323309",https://maps.app.goo.gl/wjCRJhq55aeJPHWXA,74495175_2445162572411078_8311819439355985920_n.jpg,,,,,,,,
67e283681115b50012b36690,25 Mar 2025 05:20:24 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្ភព សុខភាពស្ត្រី (Women's Health - 1147),,,,,,,"11.6461020, 104.8729680",https://maps.app.goo.gl/FzQoQ1znfcDWhvAr8,Messenger_creation_9D2BD3E2-DDAE-411F-90D0-2AF900477253.jpeg,,,,,,,,
67e2839a8f85de001202c1b3,25 Mar 2025 05:21:14 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល សំរឹទ្ធ ម៉ូនីកា (Samrith Monica - 1471),,,,,,,"11.53867613225983, 104.96132789015759",https://maps.app.goo.gl/Svb8WcA1BVasgKxZ6,1111111111111.jpg,,,,,,,,
67e283ba1115b50012b36802,25 Mar 2025 05:21:46 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល លាង ហេង (Lang Heng - 214),,,,,,,"11.590724591263402, 104.89741704192265",https://maps.app.goo.gl/3HewBEpNGsh1VStW7,image (1).JPG,,,,,,,,
67e284ee1115b50012b36902,25 Mar 2025 05:26:54 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ព្រុំ សន្តិភាព (Prum Santepheap - 2028),,,,,,,"11.547315253617125, 104.90138330995796",https://maps.app.goo.gl/NmuezwYYMUkxxFW27,PSC.jpg,,,,,,,,
67e2852a1115b50012b3691a,25 Mar 2025 05:27:54 PM,Success (with Downloaded Attachment),ក្រចេះ,,,,មន្ទីរសម្រាកព្យាបាល ច័ន្ទកាពូន (Chan Kapon - 2125),,,,,,,,,,,,,,,,,,,,,,"12.483912867989858, 106.01764615974733",https://maps.app.goo.gl/NaEmXfNvohRdb847A,Clinic Chan Kapoun.jpg,,,,,,,,
67e2865d1115b50012b3696f,25 Mar 2025 05:33:01 PM,Success (with Downloaded Attachment),កំពង់ចាម,,,,,មន្ទីរសម្រាកព្យាបាល ហុង ម៉ីអ៊ី (Hong My I - 869),,,,,,,,,,,,,,,,,,,,,"11°59'33.2""N 105°27'29.5""E",https://maps.app.goo.gl/1pip3k8TFyi8VPQF6,pic hong mey i.jpg,,,,,,,,
67e287f78f85de001202c738,25 Mar 2025 05:39:51 PM,Success (with Downloaded Attachment),កំពង់ឆ្នាំង,,,,,,មន្ទីរសម្រាកព្យាបាល កំពង់ត្រឡាច (Kampong Tralach - 1606),,,,,,,,,,,,,,,,,,,,"12.033299438814064, 104.64938794786292",https://maps.app.goo.gl/QVYaqofaaPSTAt8N7,photo_2025-03-25_17-39-22.jpg,,,,,,,,
67e289bb8f85de001202cb05,25 Mar 2025 05:47:23 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ព្រីម៉ា (Prima - 188),,,,,,,8ម៉ែត្រ x 16ម៉ែត្រ,https://maps.app.goo.gl/FoLTNFc1mBtAEtUp6?g_st=com.google.maps.preview.copy,IMG_4240.jpeg,,,,,,,,
67e28bbe8f85de001202cf3f,25 Mar 2025 05:55:58 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ឃួន ពិសិដ្ឋ (Khuon Piseth - 111),,,,,,,"11.5460605093318, 104.89910715740955",https://maps.app.goo.gl/oa7V8t6AgD8HW5sz5,photo_2025-03-25_16-12-23.jpg,,,,,,,,
